province,dwelling_period,count
Western Cape,2018–2022 (0–5 years),249059
Western Cape,2013–2017 (6–10 years),499705
Western Cape,2003–2012 (11–20 years),1075748
Western Cape,1993–2002 (21–30 years),1228291
Western Cape,1983–1992 (31–40 years),1185208
Western Cape,1973–1982 (41–50 years),819351
Western Cape,1951–1973 (51–70 years),491172
Western Cape,Prior to 1951,147538
Western Cape,DO NOT KNOW,1534787
Eastern Cape,2018–2022 (0–5 years),160810
Eastern Cape,2013–2017 (6–10 years),521524
Eastern Cape,2003–2012 (11–20 years),1159213
Eastern Cape,1993–2002 (21–30 years),1038999
Eastern Cape,1983–1992 (31–40 years),977372
Eastern Cape,1973–1982 (41–50 years),784844
Eastern Cape,1951–1973 (51–70 years),504654
Eastern Cape,Prior to 1951,111593
Eastern Cape,DO NOT KNOW,1280046
Northern Cape,2018–2022 (0–5 years),52997
Northern Cape,2013–2017 (6–10 years),126864
Northern Cape,2003–2012 (11–20 years),227845
Northern Cape,1993–2002 (21–30 years),209535
Northern Cape,1983–1992 (31–40 years),93902
Northern Cape,1973–1982 (41–50 years),78504
Northern Cape,1951–1973 (51–70 years),62293
Northern Cape,Prior to 1951,42517
Northern Cape,DO NOT KNOW,399588
Free State,2018–2022 (0–5 years),127891
Free State,2013–2017 (6–10 years),305617
Free State,2003–2012 (11–20 years),803436
Free State,1993–2002 (21–30 years),507019
Free State,1983–1992 (31–40 years),271738
Free State,1973–1982 (41–50 years),150970
Free State,1951–1973 (51–70 years),43042
Free State,Prior to 1951,15283
Free State,DO NOT KNOW,775442
KwaZulu-Natal,2018–2022 (0–5 years),332955
KwaZulu-Natal,2013–2017 (6–10 years),1241563
KwaZulu-Natal,2003–2012 (11–20 years),2794809
KwaZulu-Natal,1993–2002 (21–30 years),2191016
KwaZulu-Natal,1983–1992 (31–40 years),1306570
KwaZulu-Natal,1973–1982 (41–50 years),813672
KwaZulu-Natal,1951–1973 (51–70 years),313394
KwaZulu-Natal,Prior to 1951,14405
KwaZulu-Natal,DO NOT KNOW,2813659
North West,2018–2022 (0–5 years),278876
North West,2013–2017 (6–10 years),655719
North West,2003–2012 (11–20 years),940810
North West,1993–2002 (21–30 years),549178
North West,1983–1992 (31–40 years),194960
North West,1973–1982 (41–50 years),156741
North West,1951–1973 (51–70 years),107174
North West,Prior to 1951,26782
North West,DO NOT KNOW,1296169
Gauteng,2018–2022 (0–5 years),1012235
Gauteng,2013–2017 (6–10 years),1407845
Gauteng,2003–2012 (11–20 years),2538393
Gauteng,1993–2002 (21–30 years),1908335
Gauteng,1983–1992 (31–40 years),1069972
Gauteng,1973–1982 (41–50 years),963055
Gauteng,1951–1973 (51–70 years),1140780
Gauteng,Prior to 1951,506201
Gauteng,DO NOT KNOW,5719779
Mpumalanga,2018–2022 (0–5 years),309027
Mpumalanga,2013–2017 (6–10 years),830803
Mpumalanga,2003–2012 (11–20 years),1205818
Mpumalanga,1993–2002 (21–30 years),1013282
Mpumalanga,1983–1992 (31–40 years),431541
Mpumalanga,1973–1982 (41–50 years),173087
Mpumalanga,1951–1973 (51–70 years),51757
Mpumalanga,Prior to 1951,2273
Mpumalanga,DO NOT KNOW,839623
Limpopo,2018–2022 (0–5 years),346072
Limpopo,2013–2017 (6–10 years),955690
Limpopo,2003–2012 (11–20 years),1762335
Limpopo,1993–2002 (21–30 years),963350
Limpopo,1983–1992 (31–40 years),557495
Limpopo,1973–1982 (41–50 years),335851
Limpopo,1951–1973 (51–70 years),137727
Limpopo,Prior to 1951,9355
Limpopo,DO NOT KNOW,1099645
