province,refuse_type,count
Western Cape,Removed by local authority/private company at least once a week,6399265
Western Cape,Removed by local authority/private company less often than once a week,65665
Western Cape,Removed by community members; contracted by the municipality; at least once a week,9460
Western Cape,Removed by community members; contracted by the municipality; less often than once a week,8134
Western Cape,Removed by community members at least once a week,67936
Western Cape,Removed by community members less often than once a week,11254
Western Cape,Communal refuse dump,310525
Western Cape,Communal container/central collection point,256535
Western Cape,Own refuse dump,68833
Western Cape,Dump or leave rubbish anywhere,9281
Western Cape,Other,23971
Western Cape,Unspecified,0
Eastern Cape,Removed by local authority/private company at least once a week,2182618
Eastern Cape,Removed by local authority/private company less often than once a week,173210
Eastern Cape,Removed by community members; contracted by the municipality; at least once a week,65864
Eastern Cape,Removed by community members; contracted by the municipality; less often than once a week,5342
Eastern Cape,Removed by community members at least once a week,5362
Eastern Cape,Removed by community members less often than once a week,0
Eastern Cape,Communal refuse dump,80389
Eastern Cape,Communal container/central collection point,91556
Eastern Cape,Own refuse dump,3717856
Eastern Cape,Dump or leave rubbish anywhere,200470
Eastern Cape,Other,16387
Eastern Cape,Unspecified,0
Northern Cape,Removed by local authority/private company at least once a week,756812
Northern Cape,Removed by local authority/private company less often than once a week,29762
Northern Cape,Removed by community members; contracted by the municipality; at least once a week,36897
Northern Cape,Removed by community members; contracted by the municipality; less often than once a week,0
Northern Cape,Removed by community members at least once a week,621
Northern Cape,Removed by community members less often than once a week,389
Northern Cape,Communal refuse dump,30033
Northern Cape,Communal container/central collection point,3755
Northern Cape,Own refuse dump,367225
Northern Cape,Dump or leave rubbish anywhere,45769
Northern Cape,Other,22779
Northern Cape,Unspecified,0
Free State,Removed by local authority/private company at least once a week,1948001
Free State,Removed by local authority/private company less often than once a week,184646
Free State,Removed by community members; contracted by the municipality; at least once a week,13650
Free State,Removed by community members; contracted by the municipality; less often than once a week,7447
Free State,Removed by community members at least once a week,7437
Free State,Removed by community members less often than once a week,8578
Free State,Communal refuse dump,72519
Free State,Communal container/central collection point,83723
Free State,Own refuse dump,465063
Free State,Dump or leave rubbish anywhere,166624
Free State,Other,42750
Free State,Unspecified,0
KwaZulu-Natal,Removed by local authority/private company at least once a week,4625584
KwaZulu-Natal,Removed by local authority/private company less often than once a week,176752
KwaZulu-Natal,Removed by community members; contracted by the municipality; at least once a week,143526
KwaZulu-Natal,Removed by community members; contracted by the municipality; less often than once a week,58495
KwaZulu-Natal,Removed by community members at least once a week,3166
KwaZulu-Natal,Removed by community members less often than once a week,21958
KwaZulu-Natal,Communal refuse dump,170729
KwaZulu-Natal,Communal container/central collection point,161900
KwaZulu-Natal,Own refuse dump,6377999
KwaZulu-Natal,Dump or leave rubbish anywhere,60429
KwaZulu-Natal,Other,21505
KwaZulu-Natal,Unspecified,0
North West,Removed by local authority/private company at least once a week,2046512
North West,Removed by local authority/private company less often than once a week,99067
North West,Removed by community members; contracted by the municipality; at least once a week,71536
North West,Removed by community members; contracted by the municipality; less often than once a week,4671
North West,Removed by community members at least once a week,3364
North West,Removed by community members less often than once a week,11365
North West,Communal refuse dump,147842
North West,Communal container/central collection point,19462
North West,Own refuse dump,1655391
North West,Dump or leave rubbish anywhere,136828
North West,Other,10371
North West,Unspecified,0
Gauteng,Removed by local authority/private company at least once a week,12960040
Gauteng,Removed by local authority/private company less often than once a week,292132
Gauteng,Removed by community members; contracted by the municipality; at least once a week,633486
Gauteng,Removed by community members; contracted by the municipality; less often than once a week,139160
Gauteng,Removed by community members at least once a week,7542
Gauteng,Removed by community members less often than once a week,16090
Gauteng,Communal refuse dump,528578
Gauteng,Communal container/central collection point,424931
Gauteng,Own refuse dump,840837
Gauteng,Dump or leave rubbish anywhere,333266
Gauteng,Other,83793
Gauteng,Unspecified,6739
Mpumalanga,Removed by local authority/private company at least once a week,1824867
Mpumalanga,Removed by local authority/private company less often than once a week,50823
Mpumalanga,Removed by community members; contracted by the municipality; at least once a week,91216
Mpumalanga,Removed by community members; contracted by the municipality; less often than once a week,9838
Mpumalanga,Removed by community members at least once a week,9119
Mpumalanga,Removed by community members less often than once a week,17906
Mpumalanga,Communal refuse dump,172878
Mpumalanga,Communal container/central collection point,30102
Mpumalanga,Own refuse dump,2528221
Mpumalanga,Dump or leave rubbish anywhere,119278
Mpumalanga,Other,2961
Mpumalanga,Unspecified,0
Limpopo,Removed by local authority/private company at least once a week,1124471
Limpopo,Removed by local authority/private company less often than once a week,104398
Limpopo,Removed by community members; contracted by the municipality; at least once a week,114509
Limpopo,Removed by community members; contracted by the municipality; less often than once a week,39315
Limpopo,Removed by community members at least once a week,0
Limpopo,Removed by community members less often than once a week,4139
Limpopo,Communal refuse dump,237591
Limpopo,Communal container/central collection point,78015
Limpopo,Own refuse dump,4228794
Limpopo,Dump or leave rubbish anywhere,225882
Limpopo,Other,10408
Limpopo,Unspecified,0
